 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
    0.488198         11.2749    
    0.488561         11.2834    
    0.489924         11.3153    
    0.491702         11.3569    
    0.493064         11.3888    
    0.493428         11.3973    
    0.493791         11.4059    
    0.495153         11.4378    
    0.496931         11.4794    
    0.498294         11.5114    
    0.498657         11.5199    
    0.499020         11.5284    
    0.500383         11.5603    
    0.502161         11.6020    
    0.503524         11.6340    
    0.503887         11.6425    
    0.504250         11.6510    
    0.505613         11.6829    
    0.507391         11.7246    
    0.508754         11.7566    
    0.509117         11.7651    
    0.509480         11.7736    
    0.510842         11.8056    
    0.512620         11.8473    
    0.513983         11.8793    
    0.514346         11.8878    
    0.514709         11.8963    
    0.516072         11.9283    
    0.517850         11.9701    
    0.519213         12.0020    
    0.519576         12.0106    
    0.519939         12.0191    
    0.521302         12.0511    
    0.523080         12.0929    
    0.524443         12.1249    
    0.524806         12.1334    
    0.525169         12.1419    
    0.526531         12.1739    
    0.528309         12.2157    
    0.529672         12.2477    
    0.530035         12.2563    
    0.530362         12.2639    
    0.531586         12.2927    
    0.533184         12.3303    
    0.534409         12.3591    
    0.534735         12.3667    
    0.535061         12.3744    
    0.536286         12.4032    
    0.537884         12.4408    
    0.539108         12.4696    
    0.539435         12.4773    
    0.539761         12.4849    
    0.540986         12.5137    
    0.542583         12.5513    
    0.543808         12.5801    
    0.544134         12.5878    
    0.544461         12.5955    
    0.545685         12.6243    
    0.547283         12.6619    
    0.548508         12.6908    
    0.548834         12.6984    
    0.549160         12.7061    
    0.550385         12.7349    
    0.551983         12.7726    
    0.553207         12.8014    
    0.553534         12.8091    
    0.553860         12.8168    
    0.555084         12.8456    
    0.556682         12.8833    
    0.557907         12.9121    
    0.558233         12.9198    
    0.558560         12.9275    
    0.559784         12.9564    
    0.561382         12.9940    
    0.562607         13.0229    
    0.562933         13.0306    
    0.563259         13.0383    
    0.564484         13.0671    
    0.566082         13.1048    
    0.567306         13.1337    
    0.567633         13.1414    
    0.567959         13.1491    
    0.569183         13.1780    
    0.570781         13.2157    
    0.572006         13.2446    
    0.572332         13.2523    
    0.572658         13.2600    
    0.573883         13.2889    
    0.575481         13.3266    
    0.576705         13.3555    
    0.577032         13.3632    
    0.577358         13.3709    
    0.578583         13.3998    
    0.580181         13.4375    
    0.581405         13.4664    
    0.581731         13.4741    
    0.582058         13.4818    
    0.583282         13.5108    
    0.584880         13.5485    
    0.586105         13.5774    
    0.586431         13.5852    
    0.586757         13.5929    
    0.587982         13.6218    
    0.589580         13.6596    
    0.590804         13.6885    
    0.591131         13.6962    
    0.591457         13.7039    
    0.592682         13.7329    
    0.594279         13.7707    
    0.595504         13.7996    
    0.595830         13.8074    
    0.596157         13.8151    
    0.597381         13.8440    
    0.598979         13.8818    
    0.600204         13.9108    
    0.600530         13.9185    
    0.600856         13.9263    
    0.602081         13.9552    
    0.603679         13.9931    
    0.604903         14.0220    
    0.605230         14.0298    
    0.605556         14.0375    
    0.606781         14.0665    
    0.608378         14.1043    
    0.609603         14.1333    
    0.609929         14.1411    
    0.610256         14.1488    
    0.611480         14.1778    
    0.613078         14.2157    
    0.614303         14.2447    
    0.614629         14.2524    
    0.614955         14.2601    
    0.616180         14.2892    
    0.617778         14.3270    
    0.619002         14.3561    
    0.619329         14.3638    
    0.619655         14.3715    
    0.620880         14.4006    
    0.622477         14.4385    
    0.623702         14.4675    
    0.624028         14.4753    
    0.624355         14.4830    
    0.625579         14.5121    
    0.627177         14.5500    
    0.628402         14.5790    
    0.628728         14.5868    
    0.629054         14.5945    
    0.630279         14.6236    
    0.631877         14.6615    
    0.633101         14.6906    
    0.633428         14.6983    
    0.633754         14.7061    
    0.634978         14.7352    
    0.636576         14.7731    
    0.637801         14.8022    
    0.638127         14.8100    
    0.638454         14.8177    
    0.639678         14.8468    
    0.641276         14.8848    
    0.642501         14.9139    
    0.642827         14.9216    
    0.643153         14.9294    
    0.644378         14.9585    
    0.645976         14.9965    
    0.647200         15.0256    
    0.647527         15.0334    
    0.647853         15.0411    
