 Safety factor
  rad  pla 
 1408 1006
 rho(m) q 
     1.52752         1.97532    
     1.53099         1.97792    
     1.53551         1.98132    
     1.53898         1.98394    
     1.53990         1.98464    
     1.54082         1.98534    
     1.54429         1.98798    
     1.54881         1.99143    
     1.55228         1.99410    
     1.55320         1.99481    
     1.55412         1.99552    
     1.55759         1.99821    
     1.56211         2.00172    
     1.56558         2.00443    
     1.56650         2.00516    
     1.56742         2.00588    
     1.57089         2.00861    
     1.57541         2.01219    
     1.57888         2.01494    
     1.57980         2.01568    
     1.58072         2.01641    
     1.58419         2.01919    
     1.58871         2.02282    
     1.59218         2.02563    
     1.59310         2.02637    
     1.59402         2.02712    
     1.59749         2.02994    
     1.60201         2.03364    
     1.60548         2.03649    
     1.60640         2.03725    
     1.60732         2.03801    
     1.61079         2.04088    
     1.61531         2.04463    
     1.61878         2.04753    
     1.61970         2.04830    
     1.62062         2.04908    
     1.62409         2.05199    
     1.62861         2.05581    
     1.63208         2.05875    
     1.63300         2.05954    
     1.63392         2.06032    
     1.63739         2.06329    
     1.64191         2.06717    
     1.64538         2.07016    
     1.64630         2.07096    
     1.64722         2.07176    
     1.65069         2.07477    
     1.65521         2.07871    
     1.65868         2.08175    
     1.65960         2.08256    
     1.66052         2.08337    
     1.66399         2.08643    
     1.66851         2.09044    
     1.67198         2.09353    
     1.67290         2.09435    
     1.67382         2.09518    
     1.67729         2.09829    
     1.68181         2.10236    
     1.68528         2.10550    
     1.68620         2.10634    
     1.68712         2.10718    
     1.69059         2.11034    
     1.69511         2.11447    
     1.69858         2.11766    
     1.69950         2.11851    
     1.70042         2.11937    
     1.70389         2.12258    
     1.70841         2.12678    
     1.71188         2.13002    
     1.71280         2.13089    
     1.71372         2.13175    
     1.71719         2.13501    
     1.72171         2.13929    
     1.72518         2.14258    
     1.72610         2.14346    
     1.72702         2.14434    
     1.73049         2.14765    
     1.73501         2.15199    
     1.73848         2.15533    
     1.73940         2.15623    
     1.74032         2.15712    
     1.74379         2.16048    
     1.74831         2.16490    
     1.75178         2.16829    
     1.75270         2.16920    
     1.75362         2.17011    
     1.75709         2.17353    
     1.76161         2.17801    
     1.76508         2.18146    
     1.76600         2.18238    
     1.76692         2.18330    
     1.77039         2.18677    
     1.77491         2.19133    
     1.77838         2.19483    
     1.77930         2.19577    
     1.78022         2.19671    
     1.78369         2.20023    
     1.78821         2.20486    
     1.79168         2.20842    
     1.79260         2.20937    
     1.79352         2.21032    
     1.79699         2.21390    
     1.80151         2.21860    
     1.80498         2.22222    
     1.80590         2.22318    
     1.80682         2.22415    
     1.81029         2.22779    
     1.81481         2.23256    
     1.81828         2.23624    
     1.81920         2.23722    
     1.82012         2.23820    
     1.82359         2.24190    
     1.82811         2.24675    
     1.83158         2.25048    
     1.83250         2.25147    
     1.83342         2.25247    
     1.83689         2.25623    
     1.84141         2.26115    
     1.84488         2.26494    
     1.84580         2.26596    
     1.84672         2.26697    
     1.85019         2.27078    
     1.85471         2.27579    
     1.85818         2.27964    
     1.85910         2.28066    
     1.86002         2.28169    
     1.86349         2.28557    
     1.86801         2.29065    
     1.87148         2.29456    
     1.87240         2.29561    
     1.87332         2.29665    
     1.87679         2.30059    
     1.88131         2.30575    
     1.88478         2.30972    
     1.88570         2.31078    
     1.88662         2.31185    
     1.89009         2.31585    
     1.89461         2.32109    
     1.89808         2.32512    
     1.89900         2.32620    
     1.89992         2.32728    
     1.90339         2.33134    
     1.90791         2.33667    
     1.91138         2.34077    
     1.91230         2.34186    
     1.91322         2.34296    
     1.91669         2.34708    
     1.92121         2.35249    
     1.92468         2.35666    
     1.92560         2.35777    
     1.92652         2.35888    
     1.92999         2.36308    
     1.93451         2.36857    
     1.93798         2.37280    
     1.93890         2.37393    
     1.93982         2.37506    
     1.94329         2.37932    
     1.94781         2.38490    
     1.95128         2.38920    
     1.95220         2.39035    
     1.95312         2.39150    
     1.95659         2.39582    
     1.96111         2.40149    
     1.96458         2.40586    
     1.96550         2.40703    
     1.96642         2.40819    
     1.96989         2.41259    
     1.97441         2.41835    
     1.97788         2.42278    
     1.97880         2.42397    
     1.97972         2.42515    
     1.98319         2.42962    
     1.98771         2.43547    
     1.99118         2.43998    
     1.99210         2.44118    
     1.99302         2.44239    
     1.99649         2.44692    
     2.00101         2.45287    
     2.00448         2.45744    
     2.00540         2.45867    
     2.00632         2.45989    
     2.00979         2.46450    
     2.01431         2.47054    
     2.01778         2.47519    
     2.01870         2.47643    
     2.01962         2.47768    
     2.02309         2.48236    
     2.02761         2.48850    
     2.03108         2.49322    
     2.03200         2.49448    
     2.03292         2.49575    
     2.03639         2.50051    
     2.04091         2.50674    
     2.04438         2.51154    
     2.04530         2.51283    
     2.04622         2.51411    
