 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
     2.82561         1.55000    
     2.82908         1.55000    
     2.83000         1.55000    
     2.83000         1.55000    
     2.83030         1.55000    
     2.83140         1.55000    
     2.83285         1.55000    
     2.83395         1.55000    
     2.83425         1.55000    
     2.83455         1.55000    
     2.83565         1.55000    
     2.83710         1.55000    
     2.83820         1.55000    
     2.83850         1.55000    
     2.83880         1.55000    
     2.83990         1.55000    
     2.84135         1.55000    
     2.84245         1.55000    
     2.84275         1.55000    
     2.84305         1.55000    
     2.84415         1.55000    
     2.84560         1.55000    
     2.84670         1.55000    
     2.84700         1.55000    
     2.84730         1.55000    
     2.84840         1.55000    
     2.84985         1.55000    
     2.85095         1.55000    
     2.85125         1.55000    
     2.85155         1.55000    
     2.85265         1.55000    
     2.85410         1.55000    
     2.85520         1.55000    
     2.85550         1.55000    
     2.85580         1.55000    
     2.85690         1.55000    
     2.85835         1.55000    
     2.85945         1.55000    
     2.85975         1.55000    
     2.86005         1.55000    
     2.86115         1.55000    
     2.86260         1.55000    
     2.86370         1.55000    
     2.86400         1.55000    
     2.86430         1.55000    
     2.86540         1.55000    
     2.86685         1.55000    
     2.86795         1.55000    
     2.86825         1.55000    
     2.86855         1.55000    
     2.86965         1.55000    
     2.87110         1.55000    
     2.87220         1.55000    
     2.87250         1.55000    
     2.87280         1.55000    
     2.87390         1.55000    
     2.87535         1.55000    
     2.87645         1.55000    
     2.87675         1.55000    
     2.87705         1.55000    
     2.87815         1.55000    
     2.87960         1.55000    
     2.88070         1.55000    
     2.88100         1.55000    
     2.88130         1.55000    
     2.88240         1.55000    
     2.88385         1.55000    
     2.88495         1.55000    
     2.88525         1.55000    
     2.88555         1.55000    
     2.88665         1.55000    
     2.88810         1.55000    
     2.88920         1.55000    
     2.88950         1.55000    
     2.88980         1.55000    
     2.89090         1.55000    
     2.89235         1.55000    
     2.89345         1.55000    
     2.89375         1.55000    
     2.89405         1.55000    
     2.89515         1.55000    
