Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
                0.16    0.00  621460/111963996     hottev_ [12]
                0.27    0.00 1036198/111963996     hotten_ [36]
                2.43    0.00 9438892/111963996     vacmbg_ [24]
                3.90    0.00 15139081/111963996     plasmb_ [27]
               21.90    0.00 84984655/111963996     polfft_ [9]
[21]     1.7   28.85    0.00 111963996         zset_ [21]
-----------------------------------------------
               28.32    0.00    1928/1928        ascurl_ [7]
[22]     1.6   28.32    0.00    1928         mu3tf2bl_fast_ [22]
-----------------------------------------------
                                 287             dl2ccg_ <cycle 1> [18]
[23]     1.4    1.39   21.96     287         dl2tcg_ <cycle 1> [23]
               18.34    0.00  165971/2383714     zaxpy_ [8]
                2.08    0.00  166258/499178      izamax_ [30]
                0.77    0.00  165971/222864      zswap_ [39]
                0.60    0.00  165971/332663      zscal_ [38]
                0.12    0.00  166258/20380270     zcopy_ [25]
                0.03    0.00     574/861         dmach_ [62]
                                 287             e1psh_ <cycle 1> [101]
-----------------------------------------------
               15.36    2.64 9397125/9397125     ascurl_ [7]
[24]     1.0   15.36    2.64 9397125         vacmbg_ [24]
                2.43    0.00 9438892/111963996     zset_ [21]
                0.21    0.00 6724165/6765930     mul3_fast_ [54]
-----------------------------------------------
                0.01    0.00    9409/20380270     intbou_ [47]
                0.12    0.00  165676/20380270     dccgcg_ [20]
                0.12    0.00  166258/20380270     dl2tcg_ <cycle 1> [23]
                0.25    0.00  332599/20380270     fbstep_ [6]
                0.37    0.00  498502/20380270     packma_ [49]
                0.72    0.00  968904/20380270     outrf2_ [11]
                2.30    0.00 3090432/20380270     outpow_ [3]
                5.63    0.00 7574245/20380270     ascurl_ [7]
                5.63    0.00 7574245/20380270     plasmb_ [27]
[25]     0.9   15.14    0.00 20380270         zcopy_ [25]
-----------------------------------------------
                0.00    0.00       1/6494071     groots_ [68]
                0.00    0.00       1/6494071     proini_ [83]
                0.00    0.00       2/6494071     intbfp_ [82]
                0.00    0.00       5/6494071     foucoj_ [77]
                0.00    0.00       7/6494071     outpow_ [3]
                0.00    0.00      14/6494071     outrf2_ [11]
                0.00    0.00     281/6494071     genera3_ [5]
                0.00    0.00    2166/6494071     foucog_ [33]
                0.72    0.00  310730/6494071     hottev_ [12]
               14.23    0.00 6180864/6494071     powabs_ [4]
[26]     0.9   14.95    0.00 6494071         dset_ [26]
-----------------------------------------------
                0.00    0.01    9409/7574245     intbou_ [47]
                1.76   10.93 7564836/7574245     ascurl_ [7]
[27]     0.7    1.76   10.95 7574245         plasmb_ [27]
                5.63    0.00 7574245/20380270     zcopy_ [25]
                3.90    0.00 15139081/111963996     zset_ [21]
                1.42    0.00 15129672/15137443     zdscal_ [37]
-----------------------------------------------
                0.00   10.34       1/1           genera3_ [5]
[28]     0.6    0.00   10.34       1         cgefa3_ [28]
               10.33    0.00   93528/2383714     zaxpy_ [8]
                0.01    0.00     582/499178      izamax_ [30]
                0.00    0.00     433/332663      zscal_ [38]
-----------------------------------------------
                0.01    6.36       5/5           genera3_ [5]
[29]     0.4    0.01    6.36       5         regjum_ [29]
                0.00    5.96       5/287         fbstep_ [6]
                0.05    0.35       5/5           intbou_ [47]
                0.00    0.00       3/284         filrhs_ [78]
-----------------------------------------------
